Username,Rating,Ulasan
bunga 16788,5 bintang,"Koleksi binatang nya tambah banyak, fasilitas juga mulai ada penambahan, Bersih, Cocok buat wisata keluarga 🥰👍
Saran ku kalau kesana jangan pas weekend soal e kurang menikmati karena sangking rame nya"
Mochammad Affandi,5 bintang,"Menikmati akhir pekan bersama keluarga dengan berekreasi sambil mengenal ratusan jenis hewan dan mengamati tingkah polah hewan tersebut adalah sesuatu yang menyenangkan untuk siapa saja. Bahkan kita bisa berinteraksi seperti memberi makan atau menaiki gajah.

Kebun Binatang Surabaya berlokasi di lingkungan yang asri dan rindang dengan pohon-pohon besar. Selain sebagai tempat edukasi, juga merupakan kawasan konservasi sekaligus Hutan Kota. Kebun Binatang Surabaya ini juga terkenal karena di depannya terdapat patung Surabaya, patung Hiu dan Buaya yang merupakan lambang kota Surabaya.

_
Jam Buka : 08.00 - 16.00 WIB
Tiket : Rp. 15000 (weekday & weekend)
Website"
Moh Junaidi,4 bintang,"Terletak ditengah kota surabaya.
Lokasi mudah di akses dengan angkutan umum.
Tempatnya sejuk.
Koleksi satwanya lengkap.
Cocok untuk liburan bersama keluarga.
Harga tiket 30 des 2022. Rp 15.000 per orang.
Kalau mau masuk ke aquarium bayar lago"
Eka Putra Pratama,3 bintang,Masih banyak yang harus dibenahi. Beberapa binatang terlihat tida terawat tetapi dipajang dan diperlihatkan kepada pengunjung. Pengunjung diharuskan bayar lagi untuk menikmati wahana-wahana tertentu. Menggunakan toilet pun harus bayar. Semoga kedepannya banyak perubahan ke arah yang lebih baik lagi agar KBS semakin bagus.
Andrea Verdian,5 bintang,"Hiburan murah dan baik untuk edukasi anak anak di kota surabaya. Tempat sangat luas dan terdapat beraneka ragam hewan. Jalanan didalam KBS juga sangat teduh karena banyak pohon dlbesar. Juga sudah banyak perbaikan dari jaman dulu. Dulu kbs kotor dan bau, sekarang bersih dan rapi. Untuk penjual makanan dan minuman juga banyak dan tidak mahal untuk tempat wisata."
moker chanel (MoKer Chanel),5 bintang,Sudah lumayan banyak perubahan. Masukan supaya rute bisa di tentukan biar tidak bingung dan kebersihan pengunjung masih belum sadar untuk buang sampah pada tempatnya
Heny Mawarni,5 bintang,"Bagus banget, suasananya adem Rindang, banyak pohon2. hewannya juga lumayan banyak. tiket masuk cuma 15k, sangat murah di banding Bonbin lainnya."
Fariza Wardah,4 bintang,"Banyak sekali mafia parkir di KBS untuk parkir mobil. Padahal jelas² banyak petugas dishub dan satpam tapi hanya lewat dan melihat saja ke antrian parkir mobil yg panjang, malah banyak mafia parkir yg berebut.
Untuk tempatnya cukup bersih asalkan pengunjung SADAR BUANG SAMPAH DI TEMPAT, dan Sangat disayangkan sekali TIDAK ADA LARANGAN MEROKOK ditempat yg dikunjungi banyak anak kecil.
Suka sekali dengan pengelolaan toiletnya, bersih dan harum."
"Didit S Aji, Cilacap-Jombang",5 bintang,"Simple Ekonomis dan bikin anak abak senang.
Thanks KBS.. Mudah2n tambah baik lagi dan banyak macam2 penghuni binatangnya."
sri martini,5 bintang,"terakhir kesini waktu anak masih umur 5 tahun skrg sdh umur 19 th. banyak yg berubah, wahana semakin banyak. tempatnya asri meskipun ditengah kota surabaya"
Puspa Almas,5 bintang,Kebun binatang yang terletak di kota Surabaya. Alternatif tempat kunjungan apabila bosan kulineran atau ke mall. Lokasi luas dengan berbagai koleksi satwa. Pengunjung bisa menikmati suasana asri pepohonan saat berjalan di dalam kebun binatang. Fasilitas hiburan maupun edukasi tersedia lengkap. Cocok untuk mengajak keluarga/rombongan datang kesini. Harga tiket terjangkau.
Fariz Dai,4 bintang,"Tiket murah sih cuma 15k.
Tapi didalem kalau mau explor lebih banyak harus bayar tiket lagi.
Lumayan buat sesekali refreshing disana"
dinna apriliyanti,4 bintang,"KBS sekarang lebih bagus,banyak spot foto , tempat binatangnya juga sudah banyak yang diperbaiki, bisa feeding beberapa hewan, HTM juga murah meriah"
Findy Artha,4 bintang,"Bagus sudah banyak renov, tiket harga rakyat, banyak track jalan baru yg green banget

Coba kalo harga makanannya lebih merakyat pasti petcah banget"
Miss Indri,5 bintang,"Hari ini buka HTM Rp. 15.000/orang. Update postingan 1 tahun lalu 🤭 sudah bnyak perubahan. Hewan-hewannya lebih banyak. Tempat hewannya juga lebih menarik. Masih terus dibangun agar lebih bagus lagi kayaknya. Rame hari ini pas hari libur bertepatan dengan Hari Kesaktian Pancasila. Kamis, 01 Juni 2023. Parkir full hari ini. Tiket bisa non tunai. Sejuk dan teduh meski siang. Tidak perlu khawatir kelaperan di dalam ada banyak yang jual snack dan makanan serta minuman. Ada kolam renang nya juga hanya untuk anak-anak tapi ya gess yaaa... 😁 Di jamin senang kalau kesini bareng keluarga, teman, dll."
Wulan Sari,5 bintang,"Sekarang bagus banyak spot foto binatang nya banyak dan bersih sepanjang jalan , jadi senang anak2 melihat hewan2"
Wulan Permatasari,5 bintang,"Gede banget sih ini Bonbin nya. Tiket masuk pas weekend 15ribu, banyak yg jual minuman makanan dan souvenir, banyak pohon2nya jg, Jd adem banget.. rekomen yg mau ngajak anaknya ke Bonbin,"
Azizah El_fharichah,4 bintang,"Tempatnya sejuk dan bersih, hanya saja hewannya tidak begitu banyak dan ada kandang yg kosong juga😁🙏"
Gunaone,5 bintang,"Tempatnya luas banget, cocok untuk sekedar bersantai bareng keluarga. Binatangnya juga lumayan banyak jenisnya."
Rachman Fajar,5 bintang,"Tempatnya bagus untuk rekreasi bersama keluarga, semoga perawatan terhadap hewan bisa di tingkatkan lagi ,untuk harimau agak sedikit kurus"
Elfrida Hutapea,5 bintang,"Kebun Binatang Surabaya (Surabaya Zoo) terawat dan sejuk.  Tiket hanya 15 ribu rupiah. Terjangkau untuk semua kalangan. Jangan lupa liat aquarium di area dalam KBS. Variasi ikannya cukup banyak, betah lama² di sini. Tiket nya 30 ribu rupiah.  Ada area kuliner nya juga dengan harga standar, jadi ga perlu repot bawa makanan. Mudah²an tetep diutamakan kebersihan & kenyamanan pengunjungnya ya."
FITRIANA INH,4 bintang,"Coba kalau kebersihan dan track alur dr pintu masuk sampai pintu keluar lebih diperhatikan, pasti bakal lebih nyaman"
sofie ramadhani,4 bintang,Bagus dan edukatif.. Tp kurang urut aja melihat koleksi satwa nya... Mgkn karena kbs lbih memilih konteks bebas untuk pengunjung...
agung satu,5 bintang,"Untuk pemandangan hijau-hijauan di pusat kota Surabaya rekomen sih kalo kebun binatang surabaya. Bisa untuk edukasi seluruh usia, harga tiket masuk juga termasuk terjangkau"
windy aditya,4 bintang,"lokasi sangat teduh, luas, htm terjangkau, toilet tersedia dimana-mana dan bersih, tapi sayang tempat cuci tangan yg dekat museum tidak keluar airnya begitu tanya petugas ternyata sudah tau. kenapa tidak diperbaiki ya?"
Asmuni Adhi,5 bintang,"Anak sy senang bisa naik gajah, dijaga terus kebersihannya & nyaman. Kalo bisa tambahin spot2 buat istirahat, krn jauh keliling jalannya hehee.., kalo ada sewa electrik bike spy gk capek buat anak2."
Ratna Djusuf,5 bintang,Tempat bersih banyak hiburannya harga tiket murah meriah meskipun suasana lebaran
Pandu W. Marwah,5 bintang,Kesini sambil refresing juga sambil mengenalkan berbagai jenis hewan pada anak. Agak pegel juga jalan kaki cukup jauh muter2 nya. Di sarankan bawa bekal makanan dan minuman terutama bagi yang mengajak anak2.
Saif Udin,3 bintang,"Tempat nya enak buat main dn seru bisa lihat macam"" hewann di sanaa"
Putri Yunisda,5 bintang,"tiket masuk 15.000 pas hari minggu, kalo hri biasa bisa cashless tapi kalo weekend dianjurkan cash aja sih biar ga antri lama. ruame banget pas weekend, hewan hewannya juga terawat dengan baik."
Joka Poerbianto,5 bintang,"Sangat recommended untuk wisata edukasi anak-anak bersama keluarga, tiket masuk terjangkau, bisa kasi makan satwa tetapi dengan membayar lagi. Banyak foodcourt di dalamnya, ada toilet, ada musholla."
Fitrotul Fadillah,4 bintang,"Mengunjungi kebun Binatang merupakan tujuan wisata edukasi tentang binatang. Bagi yg tidak suka kerumunan, hindari datang pada waktu hari libur krn pengunjungnya bisa sangat padat... Harga tiket terjangkau, 15rb/ org."
Endrasmana 94,2 bintang,"Toiletnya kurang
Seharusnya toilet di tambah di beberapa titik
Karna saat pengunjung ngegeludak bingung & antri
& Jarak toilet 1 dengan yg lainnya terlalu jauh"
Galang Firdaus,5 bintang,"Terakhir ke sini waktu masih TK dan sekarang sudah menikah, banyak sekali yang sudah berubah dan binatangnya jadi lebih banyak."
Anwari,5 bintang,Suasanaya luar biasa nyaman dan membawa saya terus ingin ke sini setiap saat semoga kwisatanya ramai dnsukses selalu  😘😘😘
Syamsudin Achmadi,5 bintang,"Alhamdulillah sudah di buka lagi, untuk pembelian tiket harus online,tapi dari tanggal 20 Oktober 2021 sudah bisa beli langsung di tempat,anak di bawah 12 tahun sudah bisa masuk, untuk orang tua pakai aplikasi peduli lindungi buat scan barcode dan untuk yang tidak bisa pakai aplikasi bisa nunjukin sertifikat vaksin, tempat bersih dan sejuk tetap prokes ya😊😊"
Afif Usman,5 bintang,"Masih menjadi favorit dari zaman dahulu,untuk yang mau berwisata edukasi dan wisata keluarga yang terjangkau"
Suka Deni Krisbiyanto,5 bintang,"Tempat rekreasi dan edukasi untuk anak..HTM relatif terjangkau 15.000/org,tempat nyaman dan rindang..untuk lebih hemat nya bawa makanan sendiri dari rumah😁,disini jg terdapat food court untuk pengunjung yg tidak bawa bekal dari rumah..hari Minggu sangat ramai pengunjung dari berbagai daerah"
Puteri Nur,5 bintang,"Tempat yang sangat cocok untuk digunakan bersama keluarga atau teman untuk mensegarkan pilihan.
Banyak hewan juga didalamnya yang dapat digunakan untuk mengenalkan jenis-jenis hewan kepada anak-anak.
Tempatnya juga sejuk dan banyak orang berjualan didalamnya. Namun diperbolehkan untuk membawa makanan sendiri dari rumah"
goenawan,5 bintang,Bagus untuk bersantai bareng keluarga. Tempatnya luas dan binatangnya juga lumayan banyak jenisnya.
nanda bima,5 bintang,"Lokasi ramah anak dan worth it untuk wisata edukasi dengan keluarga. Parkir luas, JANGAN PERCAYA bila ada orang yg menawari parkir di jalan dengan alasan parkiran penuh. Masuk saja, kalaupun penuh nanti bisa putar balik dan parkir di TIJ Joyoboyo"
Novi Eko H Santosa,3 bintang,"Yang ikut paket sekolah ada tugas observasi binatang.
Yang mau naik unta gak diberi orang tua nya dengan pertimbangan budget  jadi sedih..
Dan unta nya gak ber henti muter-muter anter penumpang ngalahi setoran angkot.."
RAZQA MOISSANI,4 bintang,"Tempat legandaris mulai saya kecil. Salah satu ikon kota Surabaya yg tidak banyak berubah. Tapi sekarang sepertinya mulai ada perbaikan banyak spot foto yg disediakan oleh pengelola. Pembelian tiket sekarang lebih enak karena bisa lewat on line jd tidak perlu mengantri. Wajib pakai masker kalau masuk ya.... Lebih enak kalau bawa bekal sendiri tapi bagi yang ingin beli makanan ada banyak penjual makanan di luar area. Kalau dulu penjualnya banyak yg mamatok harga di luar nalar jadi kita harus lebih hati². Tapi sekarang sepertinya tidak,. Meskipun begitu sebaiknya kita tanya harga dulu sebelum memutuskan makan di tempat tersebut."
Adrian Manangin,5 bintang,"Muantap.. 👍, wisata murah meriah, tiket masuk 15ribu/org …"
Antares Arsa Sena,4 bintang,"Lumayan banyak jenis hewannya. Cocok untuk mengenalkan hewan2 ke anak2. Ada beberapa kandang yang kosong.. Penjual makanan dan minuman banyak ditemukan. Kalau mau kenang2an juga ada kaos custom foto langsung jadi...

Banyak buayanya...
Tapi gk ketemu Ikan Suro..."
Erhieyn Al-arief,5 bintang,Rekomendasi tempat penghilang stress..Sampai sana disuguhi dengan hewan² yg menurut saya pribadi sangat lucu..dan bisa untuk spot foto yang menarik
Muhammad Baihaqi Nur Shofa,5 bintang,"Tempat edu wisata keluarga, bawa makanan apapun boleh. Tapi kalo tikar besar g boleh ya gaes 😂. Disediakan banyak tempat duduk untuk menunggu/istirahat sejenak sambil buka bekal 😀
Saran kl kesini bawa troli, biar g capek gendong /bawa peralatan camping 😂
Selama pandemi menunggang gajah belum beroperasi.
Masuk aquarium bayar 20k /org
HTM Zoo 15k
Menunggang 🐫 35k/org
Aneka jajanan & minuman hrg di semua booth sama dan tergolong ramah di kantong.
Banyak spot ft instragramable.
Parkir mobil/Bus di tempat parkir Joyoboyo (enak, luas, bersih & aman).
Kekurangan nya adalah sarana cuci tangan di berbagai tempat 😏
Wes ojok kesuen, Ndang budhal..
Yuk ajak keluarga datang kesini..
Ramai* kumpul keluarga 😚🤗"
Su'udi,5 bintang,"Tempatnya bersih
Luas
Binatangnya juga terawat
Mantap sudah banyak perubahannya"
Ayik Reyza,5 bintang,sekarang lebih bagus daripada sebelumnya. tempatnya lebih tertata dan banyak wahana yang baru utk bermain anak2.
Faried Khakiki,5 bintang,"Tempat edu wisata keluarga, bawa makanan apapun boleh. Tapi kalo tikar besar g boleh ya gaes 😂. Disediakan banyak tempat duduk untuk menunggu/istirahat sejenak sambil buka bekal 😀
Saran kl kesini bawa troli, biar g capek gendong /bawa peralatan camping 😂
Selama pandemi menunggang gajah belum beroperasi.
Masuk aquarium bayar 20k /org
HTM Zoo 15k
Menunggang 🐫 35k/org
Aneka jajanan & minuman hrg di semua booth sama dan tergolong ramah di kantong.
Banyak spot ft instragramable.
Parkir mobil/Bus di tempat parkir Joyoboyo (enak, luas, bersih & aman).
Kekurangan nya adalah sarana cuci tangan di berbagai tempat 😏
Wes ojok kesuen, Ndang budhal..
Yuk ajak keluarga datang kesini..
Ramai* kumpul keluarga"
Devi Gladi F,5 bintang,"Lebih bersih, teratur, indah, lapang, cocok bgt utk acara outing class ank sekolah👍🏻👍🏻"
Hanto 170886,5 bintang,"Jangan Lupa ..Naik Gajahnya...😁😁,wes Asik Liburan Sama Anak Di Sana...,cuma Parkiran Buat Roda 4 kalo Pas liburan Natal dan Tahun Baru Full..Trahkir kemarin parkir Lumayan Jauh.."
riani octavia,5 bintang,"Tempat edu wisata keluarga, bawa makanan apapun boleh. Tapi kalo tikar besar g boleh ya gaes 😂. Disediakan banyak tempat duduk untuk menunggu/istirahat sejenak sambil buka bekal 😀
Saran kl kesini bawa troli, biar g capek gendong /bawa peralatan camping 😂
Selama pandemi menunggang gajah belum beroperasi.
Masuk aquarium bayar 20k /org
HTM Zoo 15k
Menunggang 🐫 35k/org
Aneka jajanan & minuman hrg di semua booth sama dan tergolong ramah di kantong.
Banyak spot ft instragramable.
Parkir mobil/Bus di tempat parkir Joyoboyo (enak, luas, bersih & aman).
Kekurangan nya adalah sarana cuci tangan di berbagai tempat 😏
Wes ojok kesuen, Ndang budhal..
Yuk ajak keluarga datang kesini..
Ramai* kumpul keluarga 😚🤗"
Niyuzuku Niswa,5 bintang,"Paling enak kesini pas senin-kamis saat nggak liburan, biar enjoy.
Waktu hari libur kesini, untuk masuk saja antri panjang."
Ahmad Rofi (V),5 bintang,"Bagus sih fasilitasnya lengkap, tapi sedikit hewannya, oke lah semoga Surabaya makin maju🤩"
Indina Febrianti,5 bintang,Cocok untuk liburan bersama anak-anak. Hewannya cukup banyak dan terawat. HTM Rp 15.000/orang untuk anak dengan tinggi badan 85cm sudah wajib membayar penuh. Sayangnya masih banyak pengunjung yang buang sampah sembarangan.
Yuni,4 bintang,"Tempatnya rindang karna banyam pohonnya .
Tiket masuk murah cuma 15rb
Tp ada beberapa tempat yg bau banget dan kurang bersih."
Permata Sari Dyah,5 bintang,"Setelah bertahun2 baru ini masuk lagi ke KBS.. Tambah bersih, gak bau, makin asri.. Semoga lebih baik lagi🥰🥰"
Marietta d savitri,4 bintang,"tiket masuk nya terjangkau. banyak fauna yg ada di KBS ini, tempatnya cukup bersih & disediakan banyak tempat sampah. tersedia foodcourt jg tempat oleh2. namun sayang saat ingin memberi makan hewan, harganya cukup mahal."
Afifah Demolisher,5 bintang,"Seruuu Bangetttt..
Keluar dr kebun binatang ditawarin berbagai macam mainan anak, namun anak saya kuat imannya untuk tak beli mainan.. Wkwkwk

Sehingga penjual pun berkata ""kuat iman iki, pinter iki"""
Hanimatul Faizah,5 bintang,"Sudah dibuka lagi, pembelian tiket via website lebih nyaman dan cepat prosesnya. Bersih. Dan ttp menyenangkan untuk anak2."
Sari Ambarwati,5 bintang,"Wisata favorit warga Surabaya
Banyak pilihan bermain bersama hewan saat liburan sekolah"
Farah HNF,5 bintang,"Rekomendasi buat liburan pas weekend bareng keluarga kecil n anak²
Mengenalkan hewan dan macam² binatang yg ada untuk edukasi buat anak juga dan bisa buat healing tipis² liat pemandangan yg hijau karena skg makin sejuk tempat nya, nggak kalah jauh koq sma di batu"
Raafi Almayda,5 bintang,"Sudah lama tak kesini, kesini lagi mbawa rombongan 300 orang. #8DKotaBlitar"
Widiya,4 bintang,"Seneng banget bisa main kesini
Tiket murah binatang juga banyak
Sayangnya terakhir kali kesini ada beruang yang ga tenang gitu jadi kasian🥲
Btw aku suka liat jerapah disini xixixi"
Mukhlis Sudarman,4 bintang,"Bagus, lebih tertata, pengunjung juga dibatasi jadi tidak berjubel, jadinya bisa lebih nyaman jalan² dan lihat² hewan² yg ada, cuma pas keluar jalan menuju parkiran kok harus muter, kenapa ya??!!
Untuk tiket masuk aquarium 30 rb menurut saya terlalu mahal, mungkin bisa diturunkan jadi 15 atau 20 rb, dan bisa dibeli di loket depan, atau disediakan tiket terusan karena di dalam KBS ternyata ada wahana² yg mungkin banyak orang yg belum tahu"
Dezan Rahmanus,5 bintang,"Seumur hidup saya baru 2x masuk ke sini saat umur saya 5th dan 29th dan baru tau dalem suasana KBS, pelayanan yg ramah, masjid yg dingin cuman yg sangat di sayangkan ada beberapa pengunjung yg tidak bisa menjaga lingkungan padahal tempat Sampah tidak jauh dari situ, jadi bagi pengunjung berusaha lah untuk membuang sampah pada tempatnya dan jangan mengandalkan petugas"
Fatimatuz Zuhro,4 bintang,"Untuk kebersihan lumayan ya, cuman sayangnya hewannya kurang sedap dipandang mata huhuhuuu"
Evi Rachmawati,5 bintang,"Bersih, bagus, luas, di dalam tersedia aneka makanan dan minuman dengan harga cukup wajar, jadi tidak perlu payah2 bawa bekal.

Hanya perlu peta area dan penunjuk jalan agar tidak kembali area yang sama (muter). masuk area aquarium yg berisi ikan², hewan nocturnal, reptil bayar lagi 30rb per orang tapi koleksi ikan kurang variatif.

Pakan rusa cukup mahal 25rb per toples isi bbrp wortel dan kacang panjang. mungkin ditali saja wortelnya jgn ditaruh toples yg bikin mahal"
Fatma Wati,5 bintang,Luas tempatnya enak sejuk banyak satwanya..bersih..THN 2019 pas ke Mojokerto salam dr Sampit
Yanti Harimulyani,5 bintang,"Tempatnya bersih, kmr mandi umum wangi bersih, harganya ekonomis , hewannya banyak"
Irfan Muzakki,5 bintang,Semua bagus. Tiket terjangkau. Edukasi untuk anak-anak dan keluarga mengenai hewan. Cocok untuk bersantai juga.
Faizah Aini,5 bintang,"HTM 15rb/orang berlaku untuk weekday dan weekend.

Saran untuk datang pagi saat weekend, agar antri tiket tidak terlalu panjang."
Ratna Kemala,5 bintang,Tempat perkenalan binatang untuk anak2. Tempatnya asri banyak pohon ijo2 tapi sayang aromanya kurang sedap.
Aga Sumartha,4 bintang,"Lumayan bagus...., Untuk edukasi anak² dan hiburan keluarga. Cuma klo bisa rute untuk pengunjung di buat teratur, sehingga lebih tertib."
Mahmud Zahira,5 bintang,"Selalu jadi pilihan disaat hari libur untuk anak"" mengenal jenis"" satwa secara langsung sekalian picnic tipsi""."
khurin masyithoh,5 bintang,"Tempat bagus, nyaman, semakin rindang pepohonan nya, harga makanan wajar, pas sekali untuk liburan bersama teman atau keluarga di hari libur. Yang gak jauh-jauh dari kota Surabaya dan sekitarnya."
Dina Kustiningrum,3 bintang,"Tempatnya sekarang lumayan agak bersih...
Di bandingkan dulu kotor sekali."
fathcul jannah,5 bintang,"Sebaiknya beli tiket h-1 atau jauh hari via onlen.
Semua bayar kecuali bayi.
Dsana tinggal cuci tangan cek suhu. Scan barcode. Masuk.
Sebaiknya jangan hari minggu.

Pengalaman pertama dtg hari sabtu jam 8 tepat
Nyampe dalam bener2 suepi. Seger. Nyaman.
Bs foto tnpa background manusia.
Bs leluasa jln sm anak tnpa tkut ilang.
Heheee

Pengalaman kedua dtg hari minggu jam set 9 sampai. Ruame bangett. Anak hrus dpegang.
Mendung tpi anak udah mo tantrum karena trll banyak manusia.
Sy dan suami jg kurang nyaman.

Bawa bekal makanan dan minuman secukupnya saja
Karena di dlm ada banyak tenant makanan.
Yg gak mahal banget utk ukuran tmpat wisata.
Sy, tdk bw apapun kcuali air puti dan snack kecil. Biar tdk berat bawaan .

Dijual buah sayur 10rb per keranjang, utk kasik makan hewan.
Hati2 ya walau ada pengawasnya. Anak kita bukan tanggung jawab bliau.. Ttp waspada dan jaga jarak ya..
Jangan berebut. Tenaang.. Psti dpt jatah kasik makan dan foto kok.

Untuk batita saran sy kasik makan rusa. Kalau sudah TK-SD feeding animals gajah jerapah unta pilian yg tepat.

Toilet ada banyak titik. Tpi syg, tmpat sholatnya hanya 1 dan tdk ada ptugas.
Masjid ckup bsr sbnrnya.
Sehingga org mau sholat kalah sm org yg istirahat dan skedar ngadem.
Jd, kita putuskan sholat dluar saja.
Mengingat kita dgn anak kecil
Banyak krumunan dan pandemi.

Ada mainan kreta trampolin dll.
Slain wahana prahu dan akuarium tentunya.
Jangan lupa spray antiseptik yaa
Siapkan uang tunai
Krena makanan dan smuanya cash.

Smoga banyak petugas yg ingatkan utk tdk merokok dpn anak2
Krena kasihan
Udah panas. Pengap. Pake masker. Bauk rokok lg
Dan larangan tdk menginjak tanaman, ksian tanamannya..

Ttp sehat yaa biar bs piknik hepi..
Jaga jarak dan pakai masker."
Desy Eriyanti,5 bintang,"Alhamdulillah makin berbenah,, meskipun waktu itu gk bisa liat harimau sm singa"
Rumah Jahit Alfarazky,5 bintang,"Biasanya tmpt ini tdk ramai tp stlh lebaran dua hr full bgt n jd seru ya. Tiket msi 15rb, anak diatas 85cm br bayar"
Heru Sumantri,4 bintang,"Tempatnya terlalu kecil utk yg namanya kebun binatang, juga saya kaget banyak monyet agak besar berkeliaran diatas pohon pas dibawah nya tempat jajan pengunjung."
Lulukltfh Channel,4 bintang,Bagus banget buat jalan jalan sama anak anak sambil ngenalin sama hewan
Mh Badrut Tamam,5 bintang,"Tempat asik buat weekend

Lokasinya asri dan sejuk

Banyak variasi wisata

Pemandangangya bagus"
Aisyah Delima,5 bintang,"seperti biasaaa, sudah berkali"" ke sini tp biasanya weekday jdi ga rame, ternyata kalo hari besar rame bgttt"
Egi Rizkon,5 bintang,"Wisata semua generasi. Dari saya TK sampai skrg pny anak 10 tahun jd andalan tuk healing tipis2 merasakan hutan kota Surabaya sambil melihat satwa.

Skrg designnya kekinian makin asri dgn banyak spot foto selfienya, kandangnya bersih, hewan nya embul semua, dan bs nikmati seru naik gajah yg include dpt free foto cetakan KBS, naek onta juga bahkan bs kasih makan jerapah jd merasa setinggi ama jerapanya jg hehe

Oya lengkap jg ada wahana ocean nya dmn bs liat satwa air dan biotanya mulai dari ikan laut atau tawar sampe bs nengok hiu disini .

Kl pny anak kecil atau ponakan atau sekedar mau nostalgia masa kecil agendain deh dimari ya tiket Murmer all day weekdays or wikend sama aja cm 15 k loh. ( Tdk termasuk tiket wahana laennya ya)"
Ahmad Ibrahim,2 bintang,"waspada parkir di luar kebun binatang

pengalaman kedua ke sini, baru belok mau masuk jalan ke kebun binatang sudah di samperin tungkang parkir diluar parkir yang disediakan pihak binatang dan mengatakan bahwa parkir didalam penuh, dan dikhususka untuk hus dan elf, padahal kenyataannya didalam banyak sekali mobil pribadi sejenis avanza dan sejenisnya. dan mayoritas memang mobil pribadi. (mungkin karena mereka lihat plat mobil saya luar kota jadi mereka sedikit ""memaksa""). ketika lewat depan pintu masuk parkiran kebun binatang ada palang besik yang ditempeli tulisan kertas ""parkiran penuh"" tapi ketika saya jalan ke pintu masuk setelah memarkir mobil di luar, tulisan dan palang tersebut tidak ada dan banyak (lebih dari 3 mobil karena antri) masuk parkiran resmi. oh iya btw parkir di dalam untuk mobil pribadi 8 rbu, sedang di luar 25 rbu, menurut saya ini terlalu mahal karena silisihnya 3 kali lipat dari parkir resmi, apalagi oknum tukang parkirnya agak maksa, jadi kesannya seperti di palakin. ketika pulangpun tidak ada tukang parkir yang membantu mobil saya keluar dari parkiran. padahal kondisi lalu lintas ramai, jadilah keluarga sendiri yang jadi tukang parkir dadakan.

masukan, tolong untuk dishub yang bertugas di perbaiki lagi, dan ditertibkan parkir diluar parkiran yang disediakan pihan kebun binatang, beri patokan tarif dan karcis resmi, agar citra kebun binatang dan kota surabaya tidak turun, karena hal2 demikian bisa menjadi salah satu penyebab masyarakat terutama dari luar kota yang meninggalkan destinasi wisata tersebut.

terima kasih, semoga kedepannya semakin baik lagi,"
Sophia Riza,5 bintang,"Tempatnya asri, adem dan bersih, hewan2nya juga terpelihara dengan baik.Ini bakal jadi tempat rekreasi favorit dan edukasi apalgi anak sya suka sekali"
Sherly Amalia Arif,4 bintang,Lumayaan buat wisata edukasi. Cuman sayang rute nya agak kurang jelas kayak mau mulai dari mana dulu  overall such a fun experience!
Ikke Nur Qomaria,5 bintang,"Hewannya lumayan lengkap. Tempatnya juga bersih, bagus. Tiket 15k/orang"
alwan darishilmy,2 bintang,"HARAP PARKIR DI DALAM FASILITAS KEBUN BINATANG, karena saya kena tipu dan parkir di luar (dibilang parkiran dalam sudah penuh) dan saya harus membayar 10.000 rupiah.

petugas dari kebun binatang juga sepertinya tidak peduli dengan pungli dan parkiran liar seperti ini.

akses masuk di pintu baru tapi pembelian tiket ada di pintu lain, sehingga agak memutar2 karena minimnya signage, namun harga tiketnya masih tergolong murah. mungkin sedikit saran sebaiknya bisa dijual juga sebuah tiket terusan untuk segala wahana dan akses akuarium (saat itu akuarium sedang di renovasi) daripada harus beli tiket lagi didalam.

akses masuk tiketnya menggunakan qrcode pada tiketnya, lalu ketika masuk kalian akan kebingungan memilih jalan ke kanan atau kiri, karena tidak ada penjelasan alur jalan yang pasti.

masih banyak sekali sampah yang berserakan di sepanjang pedestrian walknya, bahkan juga di dalam ruang exhibit satwa. menandakan masih minimnya pendidikan/peraturan yang diberikan oleh pihak kebun binatang terhadap pengunjungnya.

saya menyaksikan juga ada sekelompok bekantan yang lepas dari areanya dan masuk ke area pengunjung di pepohonan diatas stan makanan. terdengar berkali2 dentuman langkah kelompok bekantan ketika melewati atap seng besi stan makanan tersebut. hal mengerikan ini seperti dianggap biasa oleh petugas2 kebun binatang surabaya, tidak diperlakukan tindakan nyata, dan cenderung diabaikan."
Rivaldo Eka,5 bintang,"Tempatnya yang bersih, nyaman, dengan berbagai tunjangan wahana membuat kita bisa berinteraksi dengan hewan yang ada"
Sugi_ san,4 bintang,"Lokasi berteduh saat hujan masih perlu ditambah, apalagi saat hari libur.
Pengunjung luar kota rawan dipalak preman parkir"
Nada Shop,3 bintang,"Pintu masuk utama semakin bagus dan lebih hidup nuansanya ,parkir mahal,area renang sudah tidak ada sayang banget."
Erlyna Febiyanti,5 bintang,"Sudah lebih tertata dan lebih menarik. Koleksi hewannya juga sudah bertambah. Banyak pohon besar dan rindang. Penjual makanan, mainan, souvenir juga tersedia banyak. Fasilitas seperti toilet banyak tersedia di beberapa titik dan juga terdapat musholla."
Maria istiawan,4 bintang,"Semakin Bagus, kebersihan terjaga
Harga tiket masuk KBS terjangkau
Tapi harus bayar lagi ketika masuk wahana lain, atau tempat bermain anak.
Tempat dimana beli paket makanan jerapah (memberi makan jerapah),  sangatlah mahal menurut ku.

Ada penjual makanan dan minuman di dlm area , penjual boneka, suvenir"
B Priyanto,5 bintang,"Sekarang bersih dan lebih tertata, hewan juga dalam kondisi yg baik, kl kesini jgn hari libur, ruameeeeenya juara 👍 …"
